没	a
振奋精神	scww
换言之	scx
挼	scxc
捼	scxc
扩大再生产	scxj
打工妹	scxk
换言之	scxp
鸠夺鹊巢	scxr
掠夺婚	scxv
訄	scy
琾	scyd
琂	scyg
訄	scyq
摇身	scyr
搯	scyr
瑫	scyr
掩盖	scys
振奋人心	scyu
撩人	scyw
拉	sd
打酱油	sda
碧波	sdaa
摇尾涂中	sdab
掉眼泪	sdad
琐尾流离	sdaf
碧海	sdal
撞沉	sdam
拉斯	sdat
珀斯	sdat
打酱油	sdax
摄	sdb
拍戏	sdba
摄	sdbb
摼	sdbi
掘	sdbl
拍出	sdbl
拉出	sdbl
㻕	sdbl
打白条	sdbo
拆白党	sdbw
掫	sdbx
㻓	sdbx
拉大	sdcd
拉秧	sdcg
玉皇大帝	sdcj
攫夺	sdck
撰稿	sdco
拉套	sdcx
撰	sdd
攫	sddb
摄取	sddb
攫取	sddb
攝	sddd
打瞌睡	sddg
琜	sddg
㩴	sddp
拉起	sddu
拉屎	sddw
撰	sddw
捭	sde
碧落	sdeb
是耶非耶	sded
碧云	sdeg
探亲访友	sdeg
捭	sdel
拉升	sdel
理屈词穷	sdel
琕	sdel
碧血	sdes
拉动	sdeu
璋	sdf
逝将去汝	sdfa
挋	sdff
挕	sdff
珥	sdfg
握拳	sdfh
拉黑	sdfm
璋	sdfm
撞死	sdfn
拍死	sdfn
拭目而待	sdfp
珠联璧合	sdfp
拉面	sdfu
指导性	sdg
拉丝	sdgg
指导性	sdgl
搌布	sdgp
撞见	sdgw
搌	sdh
搌	sdhf
捭阖	sdhf
束装就道	sdhh
拆白道字	sdhi
摇尾求食	sdhn
拉风	sdho
拉票	sdhp
按部就班	sdhs
拍手	sdht
握手	sdht
拉手	sdht
拉门	sdhu
拍成	sdhv
拉闸	sdhv
搂	sdi
拍客	sdib
拉客	sdib
指皂为白	sdid
拉进	sdie
搂	sdif
拉登	sdih
撞坏	sdij
擽	sdio
瓅	sdio
拉长	sdit
拍完	sdiw
拍案	sdix
撞墙	sdiy
护目镜	sdj
摄魄钩魂	sdje
玉貌锦衣	sdjf
拉锯	sdjh
掩耳不闻	sdjh
㻵	sdjj
摒弃	sdjl
撞针	sdjl
拉钩	sdjo
拉锁	sdjq
拉链	sdjr
摄政	sdjs
拍子	sdjv
护目镜	sdjw
指导员	sdk
攏	sdka
瓏	sdka
握在	sdki
撞在	sdki
搂在	sdki
掩耳偷铃	sdkj
撞击	sdkl
撞伤	sdkl
拍击	sdkl
撞倒	sdkm
拉倒	sdkm
指导员	sdkm
摄像	sdkp
握住	sdkr
拉伸	sdkr
拉住	sdkr
搂住	sdkr
拍价	sdky
瑔	sdl
碧空	sdlc
碧柔	sdle
摇尾乞怜	sdlg
碧水	sdlm
抱屈含冤	sdlm
瑔	sdlm
拉回	sdln
摄生	sdlt
摨	sdlu
握	sdm
拉到	sdma
拍到	sdma
撞到	sdma
握	sdma
拍发	sdmb
撰写	sdmf
㺺	sdmg
抉目悬门	sdmh
拉管	sdmi
拍卖	sdmj
握笔	sdmo
珠履三千	sdmp
摕	sdmp
摄入	sdmw
掊	sdn
摄食	sdnc
拉着	sdnd
拍着	sdnd
搂着	sdnd
握着	sdnd
拉响	sdne
拍下	sdnf
拉下	sdnf
投亲靠友	sdng
抉目吴门	sdnh
掊	sdnm
琣	sdnm
抳	sdnq
拍品	sdnx
扩展槽	sdo
握权	sdob
拍板	sdoc
扩展槽	sdof
撰述	sdoi
玉立亭亭	sdoo
拉杆	sdoq
拍档	sdoq
拉忽	sdor
拉平	sdos
捤	sdot
撤职查办	sdou
㨮	sdp
握别	sdpa
拍花	sdpj
玉貌花容	sdpl
整装待发	sdpm
拍片	sdpr
摄行	sdps
碧蓝	sdpt
拍得	sdpu
撰著	sdpv
拉萨	sdpw
㨮	sdpw
摒	sdq
拉线	sdqe
摒绝	sdqj
㨝	sdqk
拉纤	sdqp
挖耳当招	sdqs
拉练	sdqt
碧绿	sdqx
摒	sdqx
拍	sdr
撞车	sdra
拉车	sdra
拉丁	sdrf
抽壮丁	sdrf
拍	sdrf
珀	sdrg
摄影	sdrh
拍照	sdrp
璛	sdrr
㩋	sdrr
擞	sds
擦眼抹泪	sdsa
琼浆玉液	sdsa
拍摄	sdsd
拍拍	sdsd
拉扯	sdse
瑝	sdsg
揘	sdsg
扛鼎拔山	sdsh
碧玉	sdsi
拍拖	sdsl
搂抱	sdso
搜章摘句	sdso
拉拢	sdsp
摒挡	sdsq
拍打	sdsr
擞	sdst
抓耳挠腮	sdsu
揶揄	sdsw
璼	sdt
琼浆金液	sdta
拉近	sdte
拉夫	sdtg
抉目东门	sdth
拉紧	sdti
握紧	sdti
掩耳盗铃	sdtj
拉床	sdto
璼	sdts
㩜	sdts
束装盗金	sdtt
掘金	sdtw
攬	sdtw
打屁股	sdu
拉力	sduc
拉脚	sduf
打屁股	sduh
拉架	sdun
拉了	sduv
拍了	sduv
撞了	sduv
撰文	sduy
碧	sdv
碧	sdvd
扡	sdvf
抉目胥门	sdvh
拍砖	sdvl
拍马	sdvn
挶	sdvn
撞飞	sdvp
拭目以待	sdvp
摄氏	sdvq
璬	sdvs
撽	sdvs
搬起石头砸自己的脚	sdvu
撞骗	sdvy
撞	sdw
扩展卡	sdwa
㩔	sdwb
拉上	sdwh
撞上	sdwh
撞	sdwm
摄制	sdwp
打盹儿	sdwq
挸	sdwq
現	sdwq
揶	sdwv
撞断	sdwv
瑘	sdwv
打起精神	sdww
摒除	sdww
搱	sdwy
摂	sdwy
九白之贡	sdxc
拉开	sdxg
撞开	sdxg
拉姆	sdxj
摄录	sdxl
九泉之下	sdxn
拉尼娜现象	sdxp
拉	sdy
拉美	sdyc
撞毁	sdyc
拉	sdyf
拉账	sdyi
撞人	sdyw
摸	se
按计划	sea
按计划	seaa
扯皮	seac
排污	seaf
排演	seai
拟非其伦	seak
速溶	seal
扯淡	seam
排泄	sean
摸清	seao
排灌	seap
托收	seas
速滑	seat
排涝	seat
理论基础	seav
揤	seav
搠	seb
排戏	seba
排出	sebl
摸出	sebl
搠	sebu
持币观望	sebx
摸透	secc
速达	sece
是非功过	seck
扭曲虚空	secl
摸彩	seco
速攻	secs
碧云将暮	sede
摸奖	sedi
排尿	sedl
托尼	sedn
排尾	sedo
拨云睹日	sedr
托起	sedu
理论联系实际	sedw
打前失	see
搀前落后	seec
技止此耳	seed
挻	seed
速运	seee
托运	seee
速读	seem
扯谎	seep
是非曲直	seeq
排课	seer
打前失	seet
速记	seeu
托词	seev
排	sef
排列	sefa
损失殆尽	sefb
批评与自我批评	sefe
摸	seff
拑	seff
玵	sefg
琲	sefh
排	sefh
速率	sefi
摸黑	sefm
摸鱼	sefq
托盘	sefs
推诚置腹	sefu
珦	seg
排忧	segb
㧞	segb
擙	segc
抎	segf
推诚布公	segg
损失惨重	segj
理论性	segl
持论公允	segm
珦	segn
托情	sego
排布	segp
拨云见日	segr
搤	segs
碧血丹心	segu
扯	seh
拒谏饰非	sehe
扯	sehf
抉奥阐幽	sehh
按步就班	sehs
速成	sehv
排成	sehv
托辞	sehw
理论家	sei
排外	seia
理论家	seig
批评家	seig
排字	seij
排名	sein
抱诚守真	seiq
排长	seit
托幼	seiu
排场	seiv
托	sej
托	seja
排比	seja
扥	seja
排头	sejc
摸头	sejc
搛	sejg
㻩	sejg
托梦	seji
排解	sejl
是非不分	sejn
托孤	sejo
托子	sejv
揃	sek
揃	seka
瑐	seka
排他	sekd
排位	sekd
理论体系	seke
排便	sekf
排在	seki
掽	sekj
托付	sekk
排击	sekl
掯	sekm
操斧伐柯	seko
㨵	sekp
扭曲作直	sekq
托住	sekr
璁	sel
排空	selc
抍	seld
排水	selm
是非窝	seln
速生	selt
托生	selt
打落水狗	selt
璁	selu
九曲回肠	selu
摠	selu
摸到	sema
排雷	semc
速算	semd
速写	semf
托管	semi
排筏	semk
排烟	seml
排炮	semo
排笔	semo
排入	semw
玼	sen
摸着	send
托着	send
是非口舌	senh
托养	seni
瑀	senn
摸哨	senq
玼	senq
㧗	senq
是非分明	senr
据调查	seo
摸高	seog
报话机	seoh
排毒	seoj
托熟	seoj
捗	seok
㻉	seok
排档	seoq
扯平	seos
排查	seou
据调查	seou
速查	seou
排检	seow
排枪	seoy
速	sep
速度	sepb
排版	sepc
速龙	sepd
是非得失	sepe
搥	sepe
排印	sepf
速	sepf
迋	sepg
排卵	sepl
遈	sepm
排遣	sepp
瑡	sepp
排行	seps
摸得	sepu
排律	sepu
掘墓鞭尸	seqd
是非颠倒	seqk
速递	seqq
排练	seqt
碧血红心	sequ
摡	ser
摡	sera
托疾	serb
托病	serx
推诿扯皮	sesa
挑么挑六	sesb
打诨插科	sesc
理论指导	sesd
摸摸	sese
珠落玉盘	sesf
排球	sesh
排揎	sesi
批评指正	sesj
排班	sesl
玛莎拉蒂	sesp
排挡	sesq
瑟调琴弄	sess
排挤	sesu
抶	set
推诚相与	setf
推诚相见	setg
抶	setg
排斥	seti
托庇	setj
排序	setl
排骨	setm
摸营	setn
推诚相待	setp
速效	sets
速冻	sett
速决	setu
摸底	setv
扯腿	seuc
速胜	seul
托架	seun
排量	seuw
排放	sevs
扯蛋	sevs
理论上	sew
扑朔迷离	sewf
理论上	sewh
托福	sewh
摆谱儿	sewq
排阵	sewr
排除	seww
排队	sewy
擃	sex
碧落黄泉	sexd
扯开	sexg
摸索	sexi
是非之地	sexi
速录	sexl
擃	sexo
抸	sexp
托故	sexs
是非之心	sexu
扫墓望丧	sexy
㧡	sey
托身	seyr
排气	seyt
速配	seyu
是非人我	seyw
㧡	seyw
题	sf
瑓	sfa
摆划	sfaa
捷波	sfaa
抗法	sfaf
瑓	sfah
揀	sfah
搬演	sfai
挒	sfaj
题海	sfal
摆治	sfam
振衣濯足	sfan
摆满	sfap
摆渡	sfap
题注	sfar
抗涝	sfat
挂一漏万	sfat
抗洪	sfaw
抚	sfb
班衣戏采	sfbc
抗原	sfbd
抚	sfbd
抚顺	sfbf
抚掌	sfbh
摆出	sfbl
搬出	sfbl
是一种	sfc
玉殒香消	sfca
是一种	sfcb
捷达	sfce
㩖	sfcf
搬移	sfci
握拳透爪	sfck
璢	sfcm
㩅	sfcm
抗税	sfcq
摆功	sfcu
持而盈之	sfcx
玉蜀黍	sfcy
捿	sfd
题眼	sfdc
搬走	sfdf
擅离职守	sfdi
珠璧联辉	sfdi
束装	sfdk
题目	sfdm
搬屋	sfdm
抚慰	sfdp
挺而走险	sfdw
捿	sfdx
珘	sfe
抗逆	sfeb
搬运	sfee
捷运	sfee
摆谱	sfee
抗非	sfef
珘	sfeg
摆设	sfeh
抗议	sfei
掩面失色	sfej
措置失当	sfeq
抗诉	sfet
摆动	sfeu
题记	sfeu
搬动	sfeu
题词	sfev
摆荡	sfev
摆	sff
扌	sff
摆列	sffa
掩面而泣	sffa
拂衣而起	sffd
振衣而起	sffd
攘臂而起	sffd
抹去	sfff
摆	sfff
抾	sfff
掁	sfff
掗	sfff
珐	sffg
瑪	sffg
扑面而来	sffi
抢劫一空	sffl
九死一生	sffl
抹黑	sffm
摔死	sffn
搬离	sffo
捐残去杀	sffo
攘臂	sffw
瓌	sffx
擟	sfg
抚恤	sfge
抗性	sfgl
抹灰	sfgm
擟	sfgm
摆布	sfgp
抹布	sfgp
捂盘惜售	sfgp
擁	sfgp
抱罪怀瑕	sfgs
九一八事变	sfgu
措置有方	sfgv
抗	sfh
摆阔	sfha
搬	sfhb
掩罪饰非	sfhe
撑船就岸	sfhh
抵死尘埃	sfhi
捽	sfhl
琗	sfhl
抗风	sfho
抗	sfhq
抗敌	sfhs
摆手	sfht
束手	sfht
搼	sfht
擅闯	sfhv
题辞	sfhw
擐	sfhx
環	sfhx
束	sfi
摆客	sfib
搐	sfic
扭亏为盈	sfic
搬进	sfie
搬家	sfig
扬武耀威	sfih
题字	sfij
摔	sfil
㻭	sfil
抗灾	sfim
题名	sfin
玹	sfin
擇	sfir
搬来	sfis
擅长	sfit
题为	sfiu
撁	sfiu
抱残守缺	sfiv
球面镜	sfj
抗争	sfjb
摆钟	sfjb
誓死不屈	sfjd
摆正	sfjf
九死不悔	sfjg
誓死不从	sfjh
按耐不住	sfjk
抚育	sfjk
折券弃债	sfjk
题解	sfjl
抹煞	sfjo
摆子	sfjv
球面镜	sfjw
誓死不贰	sfjw
扩而充之	sfjx
掖	sfk
擾	sfkb
瓇	sfkb
瑌	sfkc
㨎	sfkc
㐡	sfkc
九死未悔	sfkg
摆在	sfki
掖	sfki
抗击	sfkl
摔伤	sfkl
摔倒	sfkm
㧫	sfkm
抗体	sfko
打夜作	sfkq
打一巴掌揉三揉	sfks
摆件	sfku
擅	sfl
抗战	sfla
拉亏空	sflc
扜	sflf
玗	sflf
披罗戴翠	sflh
抚州	sfli
誓无二志	sflk
是亦因彼	sflp
搬用	sflq
擅	sflu
璮	sflu
掚	sfm
搬到	sfma
题写	sfmf
㩏	sfmf
摆卖	sfmj
抗炎	sfmm
掚	sfmm
頄	sfmm
頊	sfmm
頼	sfmm
題	sfmm
抹零	sfmn
擺	sfmn
琐罗亚斯德	sfmp
摆烂	sfmq
九烈三贞	sfmu
题签	sfmw
抗震	sfmx
攞	sfn
摆着	sfnd
抚着	sfnd
摔下	sfnf
抚养	sfni
攞	sfnp
㼈	sfnp
题旨	sfnr
抹	sfo
擅权	sfob
擉	sfob
㻿	sfob
抹	sfof
擀面杖	sfog
束置高阁	sfoh
抗毒	sfoj
题材	sfol
璃	sfom
摛	sfom
振臂高呼	sfon
捲	sfon
抹杀	sfoo
攡	sfop
摆平	sfos
抚平	sfos
球面度	sfp
球面度	sfpb
珂罗版	sfpc
搬迁	sfpe
抗衡	sfpf
抛妻别子	sfpj
捷径	sfpk
抗菌	sfpl
㧊	sfpm
㺰	sfpm
㺻	sfpm
摔得	sfpu
抗御	sfpw
挗	sfq
束缚	sfqu
挗	sfqy
撸	sfr
挳	sfrc
抗疫	sfrh
㨂	sfrh
抗日	sfrm
撸	sfrm
抗癌	sfrn
挭	sfro
抗旱	sfrq
摆明	sfru
抗暴	sfrw
抗病	sfrx
扝	sfs
捷报	sfsa
拼死拼活	sfsa
捏一把汗	sfsa
扝	sfsa
㺮	sfsa
摆摊	sfsb
批亢捣虚	sfsc
摆拍	sfsd
抚摸	sfse
摆摆	sfsf
瑜百瑕一	sfsf
珐琅	sfsi
扣盘扪钥	sfsj
摆弄	sfsl
搬弄	sfsl
扣盘扪烛	sfsm
搕	sfsm
抗捐	sfsn
珠盘玉敦	sfso
抹搭	sfsp
搐搦	sfsq
摔打	sfsr
抚琴	sfss
扼亢拊背	sfsv
抗拒	sfsx
捷	sft
擦拳磨掌	sftb
束紧	sfti
抚摩	sftj
抢劫犯	sfto
题库	sftr
捷	sfts
推而广之	sftx
理亏心虚	sfuc
抹一鼻子灰	sfug
束腰	sfuh
抹胸	sfuo
摆脱	sfuq
擅自	sfur
摆桌	sfur
摆了	sfuv
摔了	sfuv
抹脸	sfuw
玙	sfv
摔破	sfva
摔碎	sfvf
玙	sfvf
题跋	sfvg
擗踊	sfvq
摆放	sfvs
摔跤	sfvt
擗	sfw
抗辩	sfwe
珷	sfwe
摆上	sfwh
搬上	sfwh
九死余生	sfwl
打黑除恶	sfwm
抹粉	sfwn
抗命	sfwn
擦黑儿	sfwq
扤	sfwq
题意	sfwu
摔断	sfwv
攘除	sfww
擗	sfwy
攘	sfx
题型	sfxa
搬开	sfxg
摆开	sfxg
摆好	sfxj
挔	sfxq
抗婚	sfxv
捷克	sfxw
攘	sfxx
瓖	sfxx
顼	sfy
抚爱	sfyg
顼	sfym
题	sfym
束身	sfyr
掀拳裸袖	sfyy
现	sg
现洋	sgaa
扒皮	sgac
王法	sgaf
抱瓮灌园	sgal
拔河	sgar
现汇	sgax
拔	sgb
抱瓮出灌	sgba
拔	sgbi
拔出	sgbl
现出	sgbl
抜	sgbx
托老所	sgc
扒犁	sgca
损公利私	sgcc
抰	sgcd
王后	sgch
扶老挈幼	sgci
㨊	sgck
㻟	sgck
托老所	sgcl
王公大人	sgcy
瑁	sgd
拔取	sgdb
现眼	sgdc
持有异议	sgde
抱恨泉壤	sgdi
现状	sgdl
瑁	sgdm
现职	sgdn
挢	sgdr
现局	sgdv
拉关系	sge
赖有此耳	sged
理性认识	sgee
掆	sgeh
拉关系	sgei
抒情诗	sgei
王某	sgeo
王爷	sgeq
王	sgf
拔去	sgff
拪	sgff
揯	sgff
㧇	sgff
抛乡离井	sgfi
投老残年	sgfl
搄	sgfu
玬	sgfy
珊	sgg
珊	sggf
拔丝	sggg
抱关执钥	sggj
现有	sggk
王公	sggm
扒灰	sggm
投怀送抱	sggs
现势	sggu
王八	sggw
挏	sgh
拔牙	sgha
拔尖	sghc
王道	sghe
挏	sghf
拷问	sghn
扒手	sght
现成	sghv
琢	sgi
抑郁寡欢	sgib
抩	sgif
珃	sgif
抱布贸丝	sgig
琢	sgii
扙	sgii
㧻	sgii
现实	sgij
王室	sgim
王宫	sgin
琱	sgin
㨄	sgin
现为	sgiu
现场	sgiv
摆八卦阵	sgiw
亍	sgj
现已	sgjb
排忧解难	sgjb
现钱	sgje
现正	sgjf
玉关重见	sgjg
王孙	sgjh
拔锚	sgjp
挨丝切缝	sgjq
现钞	sgjt
王子	sgjv
王充	sgjw
现货	sgjy
珛	sgk
现任	sgka
王位	sgkd
王储	sgke
拔俗	sgkg
抱有偏见	sgkg
现在	sgki
现存	sgkj
珛	sgkm
拔份	sgkn
王老吉	sgkn
现款	sgkp
王侯	sgku
现代	sgkw
现价	sgky
王朝	sglf
拄颊看山	sglh
扒窃	sglj
王水	sglm
现年	sglr
王国	sgls
现今	sglw
现予	sglx
拻	sgm
束教管闻	sgmh
㨣	sgmh
拻	sgmi
打情卖笑	sgmm
捴	sgmu
王冠	sgmw
玜	sgmx
撟	sgn
王族	sgnb
拔下	sgnf
现下	sgnf
㺾	sgnm
撟	sgnn
珯	sgnq
㧯	sgnq
搘	sgnr
现世	sgnv
挩	sgnw
	sgo
王权	sgob
拔高	sgog
	sgow
㧏	sgow
王杰	sgox
抪	sgp
现象	sgpa
托公行私	sgpc
玉惨花愁	sgpc
王牌	sgpd
担惊忍怕	sgpg
现役	sgph
抪	sgpm
王公贵族	sgpn
拔节	sgpq
王莲	sgpr
现行	sgps
拷绸	sgqg
王维	sgqp
拷纱	sgqt
抱恨终天	sgqu
抱恨终身	sgqy
抑郁症	sgr
扒车	sgra
抑郁症	sgrj
现时	sgrk
挟	sgs
拷	sgsa
扒拉	sgsd
挟	sgsf
拔擢	sgsh
挟持	sgsi
扶老携幼	sgsi
挟势弄权	sgso
捎关打节	sgsp
扶老携弱	sgsq
拷打	sgsr
捶打	sgsr
拽布拖麻	sgst
拔掉	sgsu
珊瑚	sgsx
捶	sgt
捶	sgtf
扷	sgtf
㻔	sgtg
王座	sgth
琢磨	sgtj
王府	sgtk
现况	sgtn
玉友金昆	sgtr
现金	sgtw
抚恤金	sgtw
拔腿	sguc
损公肥私	sguc
拔脚	sguf
抗怀物外	sgui
王八蛋	sgv
扶同硬证	sgve
王者	sgvf
扒带	sgvm
王八蛋	sgvs
王码	sgvv
扒	sgw
扒	sgwf
兲	sgwg
玐	sgwg
拔剑	sgwm
挟制	sgwp
现	sgwq
插关儿	sgwq
掷	sgwv
拔除	sgww
扒糕	sgwy
打情骂趣	sgxd
抱恨黄泉	sgxd
挟嫌	sgxe
王勃	sgxj
现形	sgxk
打情骂俏	sgxk
抽丝剥茧	sgxp
王妃	sgxu
抐	sgy
担惊受恐	sgyc
玉关人老	sgyg
担惊受怕	sgyg
王八羔子	sgyj
拷贝	sgym
现有人口	sgyn
现身	sgyr
拆西补东	sgyt
现房	sgyv
抐	sgyw
据	sh
掾	sha
握炭流汤	shaa
攭	shab
搁浅	shae
攕	shaf
㧎	shaf
玡	shag
接风洗尘	shah
拨乱济危	shaj
接洽	shap
瑑	shaq
掾	shaq
投注	shar
拨乱济时	shar
接收	shas
琼斯	shat
接济	shau
指手划脚	shau
揣测	shay
投	shb
接戏	shba
据	shbf
琚	shbg
㩆	shbi
璏	shbj
投中	shbm
推崇备至	shbm
搁	shbn
据悉	shbu
拔丛出类	shbw
投	shbx
揊	shc
拨乱反治	shca
㨽	shca
接种	shcb
握手言欢	shcb
握手言和	shcc
九阍虎豹	shcd
把闲言语	shce
投工	shcf
拍手称快	shcg
换羽移宫	shci
据称	shcj
拨乱反正	shcj
掠夺	shck
投奔	shcl
揊	shcm
投稿	shco
投契	shcp
琼闺秀玉	shcs
㩄	shcu
接穗	shcx
掉舌鼓唇	shcx
接界	shcy
㧔	shd
挟山超海	shda
拔山超海	shda
掠取	shdb
㧔	shdf
琼浆	shdi
抗尘走俗	shdk
球状	shdl
接站	shdl
玉手亲折	shds
球童	shdw
接亲	shdy
投亲	shdy
现成话	she
投向	sheg
现成话	sheh
投诚	sheh
掐尖落钞	shej
擢升	shel
接谈	shem
据此	shen
据说	sheq
捕风系影	sher
拨乱诛暴	sher
投诉	shet
撼动	sheu
接访	shev
接诊	shey
球	shf
杂乱无章	shfd
拱手而取	shfd
珟	shfd
摧残	shfe
束手无计	shfe
捄	shff
珬	shff
球	shfg
换手率	shfi
瑞	shfk
揣	shfk
抱成一团	shfl
束手无策	shfm
搣	shfm
撢	shfm
㻼	shfm
束手无术	shfo
打成一片	shfp
球市	shfp
珮	shfp
㧩	shfp
搁置	shfq
束手无措	shfs
拱手无措	shfs
抢救无效	shft
杂乱无序	shft
球面	shfu
指手画脚	shfu
挠	shfw
球衣	shfx
揻	shfx
玉门关	shg
拱手垂裳	shgb
接送	shge
投送	shge
抚事慷慨	shgg
玉门关	shgi
㨏	shgm
携手同行	shgp
搹	shgr
投考	shgs
携手同归	shgt
接见	shgw
捵	shgw
琠	shgw
挨门逐户	shgy
摺	shh
琼剧	shha
现成饭	shhc
摺	shhd
接事	shhd
撒手闭眼	shhd
㨟	shhe
束手就殪	shhf
瑊	shhf
㨔	shhf
瑞典	shhg
撒手尘寰	shhi
璆	shhk
球阀	shhk
摎	shhk
束手就困	shhl
璻	shhl
接风	shho
投票	shhp
擢	shhp
抓尖要强	shhq
投敌	shhs
束手就擒	shhs
接手	shht
撼	shhu
球门	shhu
撒豆成兵	shhv
束手坐视	shhw
珝	shhx
挧	shhx
㩣	shhx
束手就禽	shhy
挫	shi
接客	shib
投寄	shic
接地	shid
投进	shie
接壤	shif
挫	shif
㺬	shii
接墒	shij
投宿	shik
据守	shik
打凤牢龙	ship
馗	shiq
撒手长逝	shis
理事长	shit
球场	shiv
接境	shiw
投案	shix
撒手锏	shj
接头	shjc
挠头	shjc
提要钩玄	shjf
折首不悔	shjg
撒手锏	shjh
摇手触禁	shjj
接触	shjl
撒手不管	shjm
摸门不着	shjn
挠钩	shjo
措手不及	shju
托门子	shjv
投产	shjx
接产	shjx
接任	shka
排山倒海	shka
拊翼俱起	shkd
接过	shke
掠过	shke
瑞士	shkf
排山倒峡	shkh
搁在	shki
挫伤	shkl
据传	shkl
球员	shkm
投保	shkn
球体	shko
珍馐佳肴	shko
接住	shkr
拱手低眉	shkt
琌	shl
投山窜海	shla
九间朝殿	shld
擢用	shlq
接生	shlt
打道回府	shlt
投生	shlt
指手点脚	shlu
琌	shlw
据点	shlx
投入	shm
接到	shma
打小算盘	shmf
接管	shmi
接火	shmi
球台	shmn
瑞雪	shmo
搁笔	shmo
投军	shmr
投篮	shmt
投入	shmw
接入	shmw
扯闲篇	shmy
接着	shnd
揣着	shnd
投下	shnf
把饭叫饥	shnh
接口	shnm
投靠	shnn
接吻	shno
括号	shns
接听	shnt
束手听命	shnw
拍手叫好	shnx
投标	sho
琼楼	shod
拦道木	shof
挆	shof
搮	shof
瑮	shof
接机	shoh
投机	shoh
打成平手	shoh
投毒	shoj
挤牙膏	shom
投标	shop
打牙祭	shop
投档	shoq
据查	shou
接柜	shox
摇羽毛扇	shoy
摧	shp
挠度	shpb
揣度	shpb
球刀	shpc
㩗	shpc
接龙	shpd
招事惹非	shpe
束手待死	shpf
摽	shpg
接待	shpi
束手待毙	shpj
携手合作	shpk
球茎	shpk
球菌	shpl
抱首四窜	shpl
挡风遮雨	shpm
攜	shpn
瓗	shpn
接警	shpo
招风惹草	shpp
投药	shpq
璀	shpr
摧	shpr
揆事度理	shps
球艺	shpv
㼇	shpv
接合	shpw
投合	shpw
打饥荒	shpx
玑	shq
接缝	shqb
接线	shqe
投缳	shqf
接纳	shqg
玑	shqg
投缘	shqh
球鞋	shqi
王道乐土	shqi
接通	shql
接续	shqm
括弧	shqo
捭阖纵横	shqo
投递	shqq
投弹	shqq
束手缚脚	shqu
据事直书	shqv
携手并肩	shqy
挠痒	shra
挨山塞海	shra
接连	shre
投映	shrg
投影	shrh
掠影	shrh
球星	shrl
瑞星	shrl
球果	shro
瑞昌	shrr
接轨	shrs
球赛	shry
㧿	shs
琼瑶	shsc
球拍	shsd
班门弄斧	shse
揣摸	shse
投掷	shsg
接球	shsh
投球	shsh
㧿	shsh
㻜	shsh
挫损	shsk
接班	shsl
球技	shsl
招风揽火	shsm
打小报告	shsn
打牙打令	shsn
打牙撂嘴	shsn
打凤捞龙	shsp
捕风捉影	shsr
挫折	shst
搔首弄姿	shst
摧折	shst
璀璨	shsu
束手束脚	shsu
捏手捏脚	shsu
据理	shsw
九门提督	shsw
拱手投降	shsw
挨门挨户	shsy
括	sht
接近	shte
拱手相让	shte
括	shtf
抙	shtf
拱手相送	shtg
揣摩	shtj
投资	shtl
接应	shtm
接骨	shtm
投效	shts
接替	shtt
揣想	shtu
扪	shu
接力	shuc
扪	shuf
接办	shug
拱手加额	shui
束手自毙	shuj
接腔	shul
投胎	shum
琼脂	shun
球心	shup
扪心	shup
球桌	shur
玛雅文明	shur
球胆	shuu
接了	shuv
珹	shv
摘山煮海	shva
拨乱兴治	shva
球路	shvb
接踵	shvj
接驳	shvo
投放	shvs
搓手跺脚	shvu
搔首踟蹰	shvv
珹	shvv
披裘带索	shvx
琊	shw
投降	shwb
球类	shwc
球迷	shwe
指事类情	shwg
接上	shwh
摵	shwh
投料	shwj
拔尖儿	shwq
球儿	shwq
打乱阵脚	shwu
接防	shwv
琊	shwv
捓	shwv
担风险	shww
挑牙料唇	shwx
球队	shwy
投医	shxb
拉闲散闷	shxh
球形	shxk
拨乱之才	shxl
鸠居鹊巢	shxr
珠翠之珍	shxs
探幽索隐	shxw
接	shy
接受	shyb
摧毁	shyc
理事会	shye
掠	shyf
接	shyf
琼	shyg
珍馐美馔	shyh
撒手人寰	shyi
投射	shyk
抱首鼠窜	shyl
打牙配嘴	shyn
拔山盖世	shyn
搓手顿足	shyn
束手受缚	shyq
投身	shyr
挫败	shys
接气	shyt
担风袖月	shyu
玛雅人	shyw
接羔	shyx
玉	si
护城河	sia
环境污染	siaa
挂漏	siad
撻	siae
㼀	siae
持法	siaf
扛长活	siah
擦洗	siam
擦澡	sian
环境激素	siao
挂满	siap
擦汗	siaq
护城河	siar
按期	siau
环境中	sib
扫地出门	sibh
现实中	sibm
环境中	sibm
揢	sibn
拉家常	sibp
琅	sic
环境科学	sica
琅	sicb
扛长工	sicf
掠地攻城	sici
挂科	sicj
拘留所	sicl
挂牵	sicm
扬名后世	sicn
搳	sicn
㨳	sicn
挂彩	sico
挂虑	sicu
攇	sicu
捇	sid
捇	sidg
挂职	sidn
玉帛	sidp
挂屏	sidq
扬名立万	sidt
挂起	sidu
挑字眼儿	sidw
挓	sie
按语	siea
持证	siej
拘留证	siej
挓	siej
按此	sien
玉柴	sien
琎	siep
按说	sieq
挂失	siet
挂记	sieu
瑯	siew
揎	sif
扬长避短	sifb
扫地而尽	sifb
拔地而起	sifd
拍案而起	sifd
擦去	siff
扬长而去	siff
扗	siff
璌	sifg
